lab_code,Sex,Hg_skin_ng_g,Hg_blubber_ng_g,Cd_blubber_ug_g,Cr_blubber_ug_g,Fe_blubber_ug_g,Mg_blubber_ug_g,Ni_blubber_ug_g,K_blubber_ug_g,Se_blubber_ug_g,Ag_blubber_ug_g,Na_blubber_ug_g,Sr_blubber_ug_g
Gmel0033,Female,4130,2690,0.12,70,600,630,14,2500,8.2,1.8,26000,NA
Gmel0034,Female,5940,2020,0.05,73,380,580,20,2400,6.8,9.6,8300,2.8
Gmel0035,Female,3790,553,0.034,5.1,41,480,4,1900,4.3,0.088,6600,2.5
Gmel0037,Female,5750,1740,0.072,45,220,540,5.2,1600,NA,1.1,8400,3
Gmel0039,Female,3220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gmel0040,Female,4720,1630,0.063,23,110,510,16,1400,4.5,0.16,7400,2.3
Gmel0047,Female,NA,851,0.065,56,280,270,13,1100,2.7,23,5800,1.2
Gmel0048,Female,5150,2590,0.12,3.9,31,510,4,1700,5.8,0.1,7000,2.7
Gmel0050,Female,5320,4040,0.077,9.2,64,460,1.5,1300,5.1,1,6900,2.4
Gmel0051,Female,NA,839,0.089,9.4,65,300,80,1200,2.4,0.64,5900,1.5
Gmel0054,Female,NA,2665,0.073,17,91,560,4.2,1300,3.1,4.1,17000,2.9
Gmel0057,Female,NA,NA,NA,20,190,1500,NA,2200,NA,0.34,15000,NA
Gmel0058,Female,NA,4060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gmel0062,Female,6160,2750,0.065,66,260,490,23,1000,2.4,0.89,8200,2.5
Gmel0063,Female,3600,495,0.042,1.7,25,460,16,1100,NA,0.033,4900,2.4
Gmel0064,Female,4870,1490,0.055,6.9,49,490,1.1,1100,3,3,5600,2.8
Gmel0066,Female,NA,874,0.057,23,130,480,10,1500,2.3,0.091,7000,2.4
Gmel0067,Female,4030,1200,0.042,1.3,17,280,2.5,7300,NA,0.13,3900,1.4
Gmel0069,Female,5150,3500,0.082,30,160,530,8.3,1400,NA,0.36,7300,NA
Gmel0071,Female,4500,2340,0.081,4.8,39,640,2.2,1600,2.8,0.34,9600,3.1
Gmel0078,Female,5140,4470,NA,12,NA,870,NA,NA,NA,0.81,10000,NA
Gmel0080,Female,6130,2200,0.089,3.4,42,450,NA,830,NA,0.066,6000,NA
Gmel0081,Female,5020,1380,0.068,4.3,33,420,0.69,1100,4.4,0.27,5000,2.6
Gmel0084,Female,5120,1830,0.099,40,170,420,16,1300,NA,0.13,7200,2.2
Gmel0036,Male,3110,1020,0.03,22,150,510,100,1700,2.2,3.9,7900,2.6
Gmel0038,Male,5840,723,NA,2.2,22,380,1.4,1100,NA,0.12,5400,NA
Gmel0041,Male,4510,780,0.048,10,57,520,4.8,1200,2,0.26,8300,2.7
Gmel0042,Male,5565,665,NA,4.4,27,390,27,1000,NA,1.4,4600,2.3
Gmel0043,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gmel0044,Male,7390,1730,NA,23,160,490,8.8,2000,4.1,0.35,6600,2.9
Gmel0045,Male,3730,1360,0.071,7,57,470,64,2500,5,0.044,8000,2.3
Gmel0046,Male,3710,915,NA,3,34,430,1.5,1200,NA,0.25,5700,2.5
Gmel0049,Male,5890,1560,0.058,13,99,720,NA,2200,NA,0.13,8500,NA
Gmel0052,Male,4950,621,0.047,36,230,410,9.8,1200,2.1,24,6800,2
Gmel0053,Male,6020,1930,0.048,5.3,34,400,3.3,1300,NA,0.32,5600,NA
Gmel0055,Male,NA,761,0.032,32,150,620,7.5,1700,3,0.97,8800,3.1
Gmel0056,Male,4480,1890,NA,12,66,620,47,1400,NA,0.51,8600,3.3
Gmel0059,Male,4790,1680,0.076,22,120,620,45,1900,3.7,0.8,9000,3.2
Gmel0060,Male,5870,1620,0.042,6,39,400,1.4,1200,NA,0.26,6100,2.1
Gmel0061,Male,4360,753,0.038,19,150,530,2.9,1400,2.6,8.2,7800,2.6
Gmel0065,Male,5590,1250,0.026,6.5,42,380,4.6,1200,2.5,0.037,4800,2
Gmel0068,Male,1930,1390,0.057,2.5,31,740,NA,1300,NA,0.21,7700,3.9
Gmel0070,Male,5080,878,NA,2.4,NA,470,3.7,1300,NA,NA,5300,NA
Gmel0072,Male,6320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gmel0073,Male,NA,2500,NA,2.7,32,560,18,1800,5.7,0.7,7300,2.9
Gmel0074,Male,5360,1460,NA,21,160,610,2.7,1100,NA,1.2,8400,3.2
Gmel0075,Male,2000,958,0.031,9.8,66,420,5.4,1500,1.5,0.37,7000,2.2
Gmel0076,Male,3800,1140,0.032,1.3,14,260,NA,590,NA,0.015,3400,1.3
Gmel0077,Male,2700,973,0.17,8.5,51,520,11,1500,2.4,190,8500,2.7
Gmel0079,Male,6450,2290,0.082,9.5,76,490,61,1400,2.6,1.1,8200,3.1
Gmel0082,Male,3640,872,0.039,30,210,830,160,1800,NA,19,9800,5
Gmel0083,Male,2650,652,0.026,4.6,54,420,0.99,1200,2,0.19,6800,2.3
